Date,BERKSHIRE HATHAWAY INC
2015-03-03,-0.0065686697777341
2015-03-04,0.0042130191614917
2015-03-05,0.0067263298226736
2015-03-06,-0.0130980610527715
2015-03-09,-0.0016524551597966
2015-03-10,-0.0097390284734647
2015-03-11,-0.0011466764438018
2015-03-12,0.01080141763962
2015-03-13,-0.008142217554344
2015-03-16,0.008054624464487
2015-03-17,0.0003843565322338
2015-03-18,0.0078535252095985
2015-03-19,0.0023629367796258
2015-03-20,0.0071046562222378
2015-03-23,0.0005910985542618
2015-03-24,-0.0010129942802968
2015-03-25,-0.0145673009155858
2015-03-26,-0.0012116232367689
2015-03-27,0.0047757069040683
2015-03-30,0.0052278947373183
2015-03-31,0.0018580599284478
2015-04-01,-0.003865395879651
2015-04-02,0.0019664295861856
2015-04-06,0.0049204748540352
2015-04-07,0.0018822503277511
2015-04-08,0.0123515754075027
2015-04-09,-0.0019046826373734
2015-04-10,0.001661398420419
2015-04-13,-0.0030737823271473
2015-04-14,0.0075159557448338
2015-04-15,0.0048718062763866
2015-04-16,0.0001024733840278
2015-04-17,-0.0130456672463713
2015-04-20,0.0007800969363398
2015-04-21,0.0078046642598483
2015-04-22,0.0037676848430179
2015-04-23,0.0070607475569128
2015-04-24,0.0002595000485166
2015-04-27,-0.0026637191782969
2015-04-28,-0.0043644769257583
2015-04-29,-0.0058494776088678
2015-04-30,-0.0079642478601966
2015-05-01,0.0096502430921945
2015-05-04,0.0037321508754037
2015-05-05,-0.0144210707398108
2015-05-06,-0.0059002616042193
2015-05-07,0.007973106033321
2015-05-08,0.0057746523600112
2015-05-11,-0.0007814802029043
2015-05-12,-0.0079315503454142
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,0.0050319922569463
2015-05-18,0.0022995433279806
2015-05-19,-0.0008251846147441
2015-05-20,0.0011624618002081
2015-05-21,0.0045967601396483
2015-05-22,0.0052675523121386
2015-05-26,-0.0033622585324445
2015-05-27,0.0035053789962962
2015-05-28,-0.0089094782297701
2015-05-29,-0.0054978282539692
2015-06-01,0.0029157613744033
2015-06-02,0.0007174833664982
2015-06-03,0.0010169903682866
2015-06-04,-0.0098744786443496
2015-06-05,0.0103813245724373
2015-06-08,-0.0063319444060236
2015-06-09,-0.001595341432684
2015-06-10,0.0125988169148396
2015-06-11,0.0004913190227773
2015-06-12,0.0042559731050202
2015-06-15,-0.007897064302326
2015-06-16,0.001090837538489
2015-06-17,0.0008711225471376
2015-06-18,0.0032893952099657
2015-06-19,-0.0094322827996914
2015-06-22,0.0019214230173629
2015-06-23,0.0030669723561185
2015-06-24,-0.0057251209992539
2015-06-25,-0.0082474246937597
2015-06-26,-0.0051029361356617
2015-06-29,-0.0199965854164745
2015-06-30,0.0118255339992809
2015-07-01,-0.0013042615337074
2015-07-02,-0.009721227599883
2015-07-03,0.0
2015-07-06,-0.005799069714534
2015-07-07,-0.0076335019728608
2015-07-08,-0.0117367336502091
2015-07-09,0.0176695280833654
2015-07-10,0.0070150031028719
2015-07-13,0.0101784831724316
2015-07-14,0.0018555539354889
2015-07-15,-0.0101634109444548
2015-07-16,0.0148348193002685
2015-07-17,0.0084521898936349
2015-07-20,-0.0046704954671858
2015-07-21,-0.0016778177368638
2015-07-22,0.0017261405721773
2015-07-23,-0.0109457771936842
2015-07-24,-0.0097821802591218
2015-07-27,-0.0188040045285843
2015-07-28,0.0081626620156918
2015-07-29,0.0036070570897819
2015-07-30,-0.002041578886225
2015-07-31,-0.0001924232936356
2015-08-03,-3.612037916622679e-05
2015-08-04,-0.0033542981059566
2015-08-05,0.0043770334952137
2015-08-06,-0.0028377514092816
2015-08-07,-0.0077473590569925
2015-08-10,0.0052625028156167
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0122451666204392
2015-08-17,-0.0052224796651456
2015-08-18,-0.0127491691594796
2015-08-19,-0.006636527365591
2015-08-20,-0.0471084866882477
2015-08-21,-0.0191403746040419
2015-08-24,-0.0389004275650541
2015-08-25,0.0227181169703609
2015-08-26,0.0314081953914344
2015-08-27,0.0399676770065244
2015-08-28,-0.0071372012236643
2015-08-31,-0.0196495105038709
2015-09-01,-0.0375770309023074
2015-09-02,0.0077459001568289
2015-09-03,-0.0090522806472097
2015-09-04,-0.0297776474591368
2015-09-07,0.0
2015-09-08,0.0150843895775052
2015-09-09,0.0107272623742549
2015-09-10,-0.0060151888317072
2015-09-11,0.003707805011589
2015-09-14,-0.0073336931221258
2015-09-15,0.0216236094622273
2015-09-16,0.0348132206216822
2015-09-17,0.0077672685573229
2015-09-18,-0.0175817691476649
2015-09-21,-0.0063523922576502
2015-09-22,-0.0146061181519673
2015-09-23,-0.0150644402115265
2015-09-24,0.0186746851547225
2015-09-25,0.0014496112138708
2015-09-28,-0.0304850181412368
2015-09-29,-0.0046578319086515
2015-09-30,0.0351663873113063
2015-10-01,0.0100709042675921
2015-10-02,0.0351046396470309
2015-10-05,0.0123176116031482
2015-10-06,-0.0164683168048699
2015-10-07,0.0057664121205596
2015-10-08,0.0119851522055292
2015-10-09,0.0104053248914737
2015-10-12,0.0037270525069825
2015-10-13,-0.026305707154107
2015-10-14,-0.0183797235714814
2015-10-15,0.0025571516728444
2015-10-16,0.0052429666156579
2015-10-19,0.0071450256550706
2015-10-20,-0.0088209025832868
2015-10-21,-0.015733696071561
2015-10-22,0.0078917564766096
2015-10-23,0.0170935301864911
2015-10-26,0.004006687664569
2015-10-27,0.0016800369026153
2015-10-28,0.0115446599617416
2015-10-29,-0.0036344547606719
2015-10-30,0.0065312123267515
